"";"CV";"LIBGEO";"P13_F65P";"P13_POP";"DP90F65P";"DP90T";"pct_P13_F65P_P13_POP";"pct_DP90F65P_DP90T"
"177";"0912";"Sabarthès";1646,0856889668;11724;1383;11453;14,0403078212795;12,0754387496726
"178";"0913";"Val d'Ariège";1440,00777059711;14100;1074;10155;10,2128210680646;10,576070901034
"179";"0999";"Pamiers";1992,38132578411;15744;1773;12972;12,6548610631613;13,6679000925069
"180";"1001";"Aix-en-Othe";1955,98595223498;16975;1772;14790;11,5227449321648;11,9810682893847
"181";"1002";"Arcis-sur-Aube";1483,35854199587;14904;1135;12642;9,95275457592507;8,97800980857459
"182";"1003";"Bar-sur-Aube";1852,863880783;14371;952;10007;12,8930755047178;9,51334066153692
"183";"1004";"Bar-sur-Seine";1980,03534367733;17119;1847;17382;11,566302609249;10,6259348751582
"184";"1005";"Brienne-le-Château";1718,85652505928;14687;1417;14174;11,7032513451303;9,99717793142373
"185";"1006";"Creney-près-Troyes";1727,96547792312;17290;1160;14740;9,99401664501513;7,86974219810041
"186";"1007";"Nogent-sur-Seine";1693,35594371026;16708;945;8087;10,1350008601285;11,6854210461234
"187";"1008";"Les Riceys";1568,41466487686;14755;1341;13539;10,629716468159;9,90471969864835
"188";"1009";"Romilly-sur-Seine";2466,05823130033;18510;2109;19633;13,3228429567819;10,7421178627821
"189";"1010";"Saint-André-les-Vergers";2555,94947065928;21813;1216;18782;11,7175513256282;6,47428388882973
"190";"1011";"Saint-Lyé";1479,31015050736;16066;NA;NA;9,20770665073671;NA
"191";"1013";"Troyes-2 (Partiel)";1738,67960104363;13370;1516;12895;13,0043350863398;11,756494765413
"192";"1014";"Troyes-3 (Partiel)";1126,75636658567;12634;660;15811;8,91844520013989;4,17430902536209
"193";"1015";"Troyes-4 (Partiel)";1966,2474499668;14839;456;7268;13,2505387827131;6,27407815079802
"194";"1017";"Vendeuvre-sur-Barse";2074,58826680067;21748;1303;18224;9,53921402795968;7,14991220368744
"195";"1099";"Troyes";6918,38981886779;59671;6404;59297;11,5942246968675;10,7998718316272
"196";"1101";"La Piège au Razès";2486,40777611977;20224;2081;16156;12,2943422474277;12,8806635305769
"197";"1103";"Carcassonne-2 (Partiel)";647,652842937109;6816,99999999999;366;5197;9,50055512596611;7,04252453338465
"198";"1104";"Carcassonne-3 (Partiel)";348,606675193505;4468;220;2795;7,8022980123882;7,87119856887299
